Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
078A98       3    No     00000005-0000000C        8
078AA4       3    No     0000000D-00000014        8
130F4C       4    No     00000015-0000001D        9
130FA0       5    No     0000001E-00000027        A
131244       3    No     00000028-0000002F        8
131264       3    No     00000030-00000037        8
173039      D6    No     00000038-00000112       DB
173198      73    No     00000113-0000018A       78
173657      26    No     0000018B-000001B5       2B
17368B      1A    No     000001B6-000001D4       1F
1736AF      FF    No     000001D5-000002D8      104
17383A      87    No     000002D9-00000364       8C
173903      37    No     00000365-000003A0       3C
176714      BB    No     000003A1-00000460       C0
17682B     128    No     00000461-0000058D      12D
17752D      46    No     0000058E-000005D8       4B
177586      2C    No     000005D9-00000609       31
177693      2B    No     0000060A-00000639       30
17779F      52    No     0000063A-00000690       57
178AB0      95    No     00000691-0000072A       9A
178B9C     137    No     0000072B-00000866      13C
178F2F      96    No     00000867-00000901       9B
179D38      3A    No     00000902-00000940       3F
179E05      A8    No     00000941-000009ED       AD
17EADB      94    No     000009EE-00000A86       99
17EB99     25E    No     00000A87-00000CE9      263
182B75     16D    No     00000CEA-00000E5B      172
188897       1    No     00000E5C-00000E61        6
1888BF     146    No     00000E62-00000FAC      14B
18D59B      28    No     00000FAD-00000FD9       2D
18DC7F      B0    No     00000FDA-0000108E       B5
18DDA8      41    No     0000108F-000010D4       46
18DDF0      29    No     000010D5-00001102       2E
18DE3C     17F    No     00001103-00001286      184
18E198      D9    No     00001287-00001364       DE
18E279      6B    No     00001365-000013D4       70
18EF5D      A6    No     000013D5-0000147F       AB
18F1DF      B2    No     00001480-00001536       B7
1A3F5C     1D1    No     00001537-0000170C      1D6
1A6448       5    No     0000170D-00001716        A
1C5E36      5A    No     00001717-00001775       5F
1C5EE4       2    No     00001776-0000177C        7
2349D5      1D    No     0000177D-0000179E       22
234C11       5    No     0000179F-000017A8        A
2350B4      13    No     000017A9-000017C0       18
2350D4      23    No     000017C1-000017E8       28
23552C      13    No     000017E9-00001800       18
23555C       3    No     00001801-00001808        8
235E7D       9    No     00001809-00001816        E
235E8D       5    No     00001817-00001820        A
2360AD       9    No     00001821-0000182E        E
236554       3    No     0000182F-00001836        8
236574       3    No     00001837-0000183E        8
236585      12    No     0000183F-00001855       17
2369CC      13    No     00001856-0000186D       18
2369FC       3    No     0000186E-00001875        8
2377BC       3    No     00001876-0000187D        8
23855C       3    No     0000187E-00001885        8
23857C       3    No     00001886-0000188D        8
2398CC       3    No     0000188E-00001895        8
23995C       B    No     00001896-000018A5       10
23A005       9    No     000018A6-000018B3        E
23A094       3    No     000018B4-000018BB        8
23A84C       1    No     000018BC-000018C1        6
23A874       1    No     000018C2-000018C7        6
23A944       1    No     000018C8-000018CD        6
23A94C       1    No     000018CE-000018D3        6
23A954       1    No     000018D4-000018D9        6
23A9BC       1    No     000018DA-000018DF        6
23A9D4       1    No     000018E0-000018E5        6
23AAF4       1    No     000018E6-000018EB        6
23AEFC       1    No     000018EC-000018F1        6
23AF3C       1    No     000018F2-000018F7        6
23AF44       1    No     000018F8-000018FD        6
23AF4C       1    No     000018FE-00001903        6
23AF54       1    No     00001904-00001909        6
23B1B4       1    No     0000190A-0000190F        6
23B38C       1    No     00001910-00001915        6
23B394       1    No     00001916-0000191B        6
23B80C       7    No     0000191C-00001927        C
23B81E       7    No     00001928-00001933        C
23B82C       7    No     00001934-0000193F        C
23B83E       5    No     00001940-00001949        A
23B84C       7    No     0000194A-00001955        C
23B85E       5    No     00001956-0000195F        A
23B86C       9    No     00001960-0000196D        E
23B87C       9    No     0000196E-0000197B        E
23B88C       9    No     0000197C-00001989        E
23B89E       7    No     0000198A-00001995        C
23B8AC       9    No     00001996-000019A3        E
23B8BC       9    No     000019A4-000019B1        E
23B8CC       9    No     000019B2-000019BF        E
23B8DE       7    No     000019C0-000019CB        C
23B8EC       9    No     000019CC-000019D9        E
23B8FC       9    No     000019DA-000019E7        E
23B90C       9    No     000019E8-000019F5        E
23B91E       7    No     000019F6-00001A01        C
23C014       1    No     00001A02-00001A07        6
23C084       1    No     00001A08-00001A0D        6
23C094       1    No     00001A0E-00001A13        6
23C0A4       1    No     00001A14-00001A19        6
23C0B4       1    No     00001A1A-00001A1F        6
23C294       1    No     00001A20-00001A25        6
23C414       1    No     00001A26-00001A2B        6
23C424       1    No     00001A2C-00001A31        6
23C7B0     14D    Yes    00001A32-00001A39        8
23C904       9    No     00001A3A-00001A47        E
23C914       9    No     00001A48-00001A55        E
23C924       9    No     00001A56-00001A63        E
23C934       9    No     00001A64-00001A71        E
23C948       5    No     00001A72-00001A7B        A
23C956       7    No     00001A7C-00001A87        C
23C964       9    No     00001A88-00001A95        E
23C974       9    No     00001A96-00001AA3        E
23C984       9    No     00001AA4-00001AB1        E
23C994       9    No     00001AB2-00001ABF        E
23C9A8       5    No     00001AC0-00001AC9        A
23C9B6      17    No     00001ACA-00001AE5       1C
23C9D4       9    No     00001AE6-00001AF3        E
23C9E4       9    No     00001AF4-00001B01        E
23C9F4       9    No     00001B02-00001B0F        E
23CA08       5    No     00001B10-00001B19        A
23CA18      57    No     00001B1A-00001B75       5C
23CA76      59    No     00001B76-00001BD3       5E
23CAD6      59    No     00001BD4-00001C31       5E
23CB36       9    No     00001C32-00001C3F        E
23CE24       1    No     00001C40-00001C45        6
23CE2C       1    No     00001C46-00001C4B        6
23D31C       1    No     00001C4C-00001C51        6
23D3C4       1    No     00001C52-00001C57        6
23D3CC       1    No     00001C58-00001C5D        6
23D3D4       1    No     00001C5E-00001C63        6
23D50C       1    No     00001C64-00001C69        6
23D98C       1    No     00001C6A-00001C6F        6
23D994       1    No     00001C70-00001C75        6
23D99C       1    No     00001C76-00001C7B        6
23DA7C       1    No     00001C7C-00001C81        6
23DA8C       1    No     00001C82-00001C87        6
23DA9C       1    No     00001C88-00001C8D        6
23E42C     11B    No     00001C8E-00001DAD      120
241DBA       1    No     00001DAE-00001DB3        6
241DE2       1    No     00001DB4-00001DB9        6
241E0A       1    No     00001DBA-00001DBF        6
241E32       1    No     00001DC0-00001DC5        6
241E5A       1    No     00001DC6-00001DCB        6
241E82       1    No     00001DCC-00001DD1        6
241EAA       1    No     00001DD2-00001DD7        6
241ED2       1    No     00001DD8-00001DDD        6
241EFA       1    No     00001DDE-00001DE3        6
242D58       3    No     00001DE4-00001DEB        8
242D78       B    No     00001DEC-00001DFB       10
242DA0       B    No     00001DFC-00001E0B       10
242DC8       B    No     00001E0C-00001E1B       10
242DF0       B    No     00001E1C-00001E2B       10
242E18       B    No     00001E2C-00001E3B       10
242E40       B    No     00001E3C-00001E4B       10
242E68       B    No     00001E4C-00001E5B       10
242E90       B    No     00001E5C-00001E6B       10
242EB8       B    No     00001E6C-00001E7B       10
242EEA       1    No     00001E7C-00001E81        6
242F12       1    No     00001E82-00001E87        6
242F3A       1    No     00001E88-00001E8D        6
242F62       1    No     00001E8E-00001E93        6
242F8A       1    No     00001E94-00001E99        6
245E42       1    No     00001E9A-00001E9F        6
245E6A       1    No     00001EA0-00001EA5        6
245E92       1    No     00001EA6-00001EAB        6
245EEB      61    No     00001EAC-00001F11       66
246510      1E    No     00001F12-00001F34       23
246553       7    No     00001F35-00001F40        C
252BD1      46    No     00001F41-00001F8B       4B
253048      17    No     00001F8C-00001FA7       1C
253078       7    No     00001FA8-00001FB3        C
2547A0      5F    No     00001FB4-00002017       64
25480A      11    No     00002018-0000202D       16
254826      12    No     0000202E-00002044       17
254842      55    No     00002045-0000209E       5A
255744      52    No     0000209F-000020F5       57
2557EC      1A    No     000020F6-00002114       1F
257494      EE    No     00002115-00002207       F3
258114      3A    No     00002208-00002246       3F
2581A0      12    No     00002247-0000225D       17
25977E       1    No     0000225E-00002263        6
2597A6       1    No     00002264-00002269        6
270DE0       2    No     0000226A-00002270        7
270E20       F    No     00002271-00002284       14
270E60      20    No     00002285-000022A9       25
277774      20    No     000022AA-000022CE       25
27A21E       2    No     000022CF-000022D5        7
27A228       F    No     000022D6-000022E9       14
27A268      20    No     000022EA-0000230E       25
27B014       5    No     0000230F-00002318        A
28E3A4       2    No     00002319-0000231F        7
28E3CC       A    No     00002320-0000232E        F
28E3DE       3    No     0000232F-00002336        8
28E424      20    No     00002337-0000235B       25
28E464      20    No     0000235C-00002380       25
292FF0      C2    No     00002381-00002447       C7
35D2B3      15    No     00002448-00002461       1A
35D2D0      70    No     00002462-000024D6       75
35D349      15    No     000024D7-000024F0       1A
35D3BA       E    No     000024F1-00002503       13
35D3D8      68    No     00002504-00002570       6D
35D448      16    No     00002571-0000258B       1B
35D4BA       E    No     0000258C-0000259E       13
35D4D8      68    No     0000259F-0000260B       6D
35D548      15    No     0000260C-00002625       1A
35D5B7      11    No     00002626-0000263B       16
35D5D4      91    No     0000263C-000026D1       96
35D6B7      11    No     000026D2-000026E7       16
35D6D4      91    No     000026E8-0000277D       96
35D7BE       A    No     0000277E-0000278C        F
35D7DC      81    No     0000278D-00002812       86
35D8BE       A    No     00002813-00002821        F
35D8DC      64    No     00002822-0000288A       69
35D949      18    No     0000288B-000028A7       1D
35D9BE       A    No     000028A8-000028B6        F
35D9DC      58    No     000028B7-00002913       5D
35DA3B       1    No     00002914-00002919        6
35DA48      16    No     0000291A-00002934       1B
35DABE       A    No     00002935-00002943        F
35DADC      64    No     00002944-000029AC       69
35DB48      16    No     000029AD-000029C7       1B
35DBB3      15    No     000029C8-000029E1       1A
35DBD0      6C    No     000029E2-00002A52       71
35DC49      11    No     00002A53-00002A68       16
35DCBA       E    No     00002A69-00002A7B       13
35DCD8      67    No     00002A7C-00002AE7       6C
35DD48       D    No     00002AE8-00002AF9       12
35DDBA       E    No     00002AFA-00002B0C       13
35DDD8      64    No     00002B0D-00002B75       69
35DE48      12    No     00002B76-00002B8C       17
35DEAF      78    No     00002B8D-00002C09       7D
35DF2E       A    No     00002C0A-00002C18        F
35DF4C       A    No     00002C19-00002C27        F
35DFB3      15    No     00002C28-00002C41       1A
35DFD0      5A    No     00002C42-00002CA0       5F
35E032       6    No     00002CA1-00002CAB        B
35E03F       1    No     00002CAC-00002CB1        6
35E04A      10    No     00002CB2-00002CC6       15
35E0B3      15    No     00002CC7-00002CE0       1A
35E0D0      63    No     00002CE1-00002D48       68
35E14A      13    No     00002D49-00002D60       18
35E1BA       E    No     00002D61-00002D73       13
35E1D8      64    No     00002D74-00002DDC       69
35E248      12    No     00002DDD-00002DF3       17
35E2BE       A    No     00002DF4-00002E02        F
35E2DC      7E    No     00002E03-00002E85       83
35E3BE       A    No     00002E86-00002E94        F
35E3DC      63    No     00002E95-00002EFC       68
35E449      18    No     00002EFD-00002F19       1D
35E4B9       F    No     00002F1A-00002F2D       14
35E4D8      54    No     00002F2E-00002F86       59
35E537       5    No     00002F87-00002F90        A
35E548      11    No     00002F91-00002FA6       16
35E5BD       B    No     00002FA7-00002FB6       10
35E5DC      64    No     00002FB7-0000301F       69
35E648      15    No     00003020-00003039       1A
35E6BD       B    No     0000303A-00003049       10
35E6DC      60    No     0000304A-000030AE       65
35E748      16    No     000030AF-000030C9       1B
35E7B7      11    No     000030CA-000030DF       16
35E7D4      89    No     000030E0-0000316D       8E
35E8B7      11    No     0000316E-00003183       16
35E8D4      6C    No     00003184-000031F4       71
35E94A      17    No     000031F5-00003210       1C
35F2F2      16    No     00003211-0000322B       1B
35F318      45    No     0000322C-00003275       4A
35F368      18    No     00003276-00003292       1D
35F38D      11    No     00003293-000032A8       16
35F3F7      11    No     000032A9-000032BE       16
35F418      68    No     000032BF-0000332B       6D
35F490       1    No     0000332C-00003331        6
35F498       6    No     00003332-0000333C        B
35F4F2      16    No     0000333D-00003357       1B
35F518      68    No     00003358-000033C4       6D
35F58A      14    No     000033C5-000033DD       19
35F5F3      15    No     000033DE-000033F7       1A
35F610      70    No     000033F8-0000346C       75
35F68A      14    No     0000346D-00003485       19
35F6F7      11    No     00003486-0000349B       16
35F714      6B    No     0000349C-0000350B       70
35F788      12    No     0000350C-00003522       17
35F7F2      16    No     00003523-0000353D       1B
35F818      68    No     0000353E-000035AA       6D
35F88A      14    No     000035AB-000035C3       19
35F8F3      15    No     000035C4-000035DD       1A
35F910      58    No     000035DE-0000363A       5D
35F96F      11    No     0000363B-00003650       16
35F98A      14    No     00003651-00003669       19
35F9F7      11    No     0000366A-0000367F       16
35FA14      6B    No     00003680-000036EF       70
35FA88      12    No     000036F0-00003706       17
35FAF7      11    No     00003707-0000371C       16
35FB14      6B    No     0000371D-0000378C       70
35FB88      12    No     0000378D-000037A3       17
363E4F      39    No     000037A4-000037E1       3E
363EC8      40    No     000037E2-00003826       45
363F4B       5    No     00003827-00003830        A
363F57       5    No     00003831-0000383A        A
363F68       5    No     0000383B-00003844        A
363F74       5    No     00003845-0000384E        A
364052      16    No     0000384F-00003869       1B
364070      18    No     0000386A-00003886       1D
3640C8      3F    No     00003887-000038CA       44
36414F       1    No     000038CB-000038D0        6
364157       5    No     000038D1-000038DA        A
36416C       1    No     000038DB-000038E0        6
364174       5    No     000038E1-000038EA        A
364251      17    No     000038EB-00003906       1C
364270      18    No     00003907-00003923       1D
3642C8      3F    No     00003924-00003967       44
364314       9    No     00003968-00003975        E
36434D       F    No     00003976-00003989       14
364368      13    No     0000398A-000039A1       18
36444F      19    No     000039A2-000039BF       1E
364470      17    No     000039C0-000039DB       1C
3644C8      3C    No     000039DC-00003A1C       41
36454B      11    No     00003A1D-00003A32       16
364568       5    No     00003A33-00003A3C        A
364574       5    No     00003A3D-00003A46        A
364653      35    No     00003A47-00003A80       3A
3646C9      3F    No     00003A81-00003AC4       44
36474B       5    No     00003AC5-00003ACE        A
364757       9    No     00003ACF-00003ADC        E
364768      11    No     00003ADD-00003AF2       16
364851      17    No     00003AF3-00003B0E       1C
364870      17    No     00003B0F-00003B2A       1C
3648C8      3F    No     00003B2B-00003B6E       44
36494D       3    No     00003B6F-00003B76        8
364957       9    No     00003B77-00003B84        E
36496C       1    No     00003B85-00003B8A        6
364974       5    No     00003B8B-00003B94        A
364A52      16    No     00003B95-00003BAF       1B
364A70      18    No     00003BB0-00003BCC       1D
364AC9      3E    No     00003BCD-00003C0F       43
364B4F       1    No     00003C10-00003C15        6
364B57       5    No     00003C16-00003C1F        A
364B6C       D    No     00003C20-00003C31       12
364C43       5    No     00003C32-00003C3B        A
364C51      17    No     00003C3C-00003C57       1C
364C70      18    No     00003C58-00003C74       1D
364CAB       1    No     00003C75-00003C7A        6
364CC8      18    No     00003C7B-00003C97       1D
364CE8      2E    No     00003C98-00003CCA       33
364D4D      13    No     00003CCB-00003CE2       18
364D68      15    No     00003CE3-00003CFC       1A
364E52      16    No     00003CFD-00003D17       1B
364E70      18    No     00003D18-00003D34       1D
364EA4       1    No     00003D35-00003D3A        6
364EC8      10    No     00003D3B-00003D4F       15
364EDF       1    No     00003D50-00003D55        6
364EE7      32    No     00003D56-00003D8C       37
364F4B      11    No     00003D8D-00003DA2       16
364F69      12    No     00003DA3-00003DB9       17
36504A      1E    No     00003DBA-00003DDC       23
365070      18    No     00003DDD-00003DF9       1D
3650C8      3E    No     00003DFA-00003E3C       43
365149      13    No     00003E3D-00003E54       18
365168      12    No     00003E55-00003E6B       17
36524A      1E    No     00003E6C-00003E8E       23
365270      18    No     00003E8F-00003EAB       1D
3652C9      3F    No     00003EAC-00003EEF       44
365349      13    No     00003EF0-00003F07       18
365368       5    No     00003F08-00003F11        A
365374       6    No     00003F12-00003F1C        B
36544A      1E    No     00003F1D-00003F3F       23
365470      18    No     00003F40-00003F5C       1D
3654C8      40    No     00003F5D-00003FA1       45
365549      13    No     00003FA2-00003FB9       18
365568      12    No     00003FBA-00003FD0       17
36564B      3D    No     00003FD1-00004012       42
3656C8      40    No     00004013-00004057       45
365749      13    No     00004058-0000406F       18
365768      12    No     00004070-00004086       17
365853      15    No     00004087-000040A0       1A
365870      17    No     000040A1-000040BC       1C
3658C8      3E    No     000040BD-000040FF       43
365949      13    No     00004100-00004117       18
365968      12    No     00004118-0000412E       17
365A53      15    No     0000412F-00004148       1A
365A70      17    No     00004149-00004164       1C
365ACB      3B    No     00004165-000041A4       40
365B49      13    No     000041A5-000041BC       18
365B68      12    No     000041BD-000041D3       17
36865F       9    No     000041D4-000041E1        E
36867C       C    No     000041E2-000041F2       11
3686A4       1    No     000041F3-000041F8        6
3686CA      16    No     000041F9-00004213       1B
3686E8      3D    No     00004214-00004255       42
368751      30    No     00004256-0000428A       35
36887A       E    No     0000428B-0000429D       13
368898      10    No     0000429E-000042B2       15
3688E8      40    No     000042B3-000042F7       45
36896B       1    No     000042F8-000042FD        6
